"Sex","Age","SIRE","Crude","Count","Population"
2,9,3,"3.7",217,5877370
2,9,4,"3.3",282,8498574
2,9,5,"~",1,0
2,10,0,"6.2",1320,21232702
2,10,1,"11.7",424,3609444
2,10,2,"9.4",42,445331
2,10,3,"6.5",355,5462284
2,10,4,"6.2",454,7281370
2,10,5,"~",4,0
2,11,0,"10.7",2193,20515785
2,11,1,"20.4",658,3228234
2,11,2,"19.9",81,406361
2,11,3,"11.2",548,4907303
2,11,4,"10.0",608,6064305
2,11,5,"~",9,0
2,12,0,"17.5",3282,18788704
2,12,1,"31.7",868,2735339
2,12,2,"27.7",96,346870
2,12,3,"15.8",679,4297287
2,12,4,"17.0",829,4868289
2,12,5,"~",3,0
2,13,0,"27.3",4459,16327719
2,13,1,"50.8",1110,2184203
2,13,2,"46.4",127,273681
2,13,3,"22.7",832,3669064
2,13,4,"26.5",1000,3770771
2,13,5,"~",12,0
2,14,0,"44.5",6209,13952259
2,14,1,"80.6",1370,1698958
2,14,2,"69.3",143,206347
2,14,3,"31.3",957,3052865
2,14,4,"39.9",1146,2871006
2,14,5,"~",13,0
2,15,0,"75.2",8874,11807578
2,15,1,"117.8",1499,1272963
2,15,2,"114.5",170,148459
2,15,3,"55.7",1338,2400415
2,15,4,"61.8",1325,2142766
2,15,5,"~",9,0
2,16,0,"131.6",12831,9753377
2,16,1,"183.2",1707,931750
2,16,2,"196.0",200,102035
2,16,3,"84.2",1506,1788430
2,16,4,"97.5",1506,1545369
2,16,5,"~",13,0
2,17,0,"225.7",17255,7646435
2,17,1,"275.7",1779,645261
2,17,2,"275.1",184,66889
2,17,3,"154.0",1962,1273811
2,17,4,"165.9",1768,1065934
2,17,5,"~",23,0
2,18,0,"522.2",45228,8661723
2,18,1,"490.0",3135,639771
2,18,2,"426.5",259,60731
2,18,3,"363.5",4728,1300616
2,18,4,"345.7",3444,996369
2,18,5,"~",43,0
